4112;C8600-BELT-UNIT;Лента переноса для принтера ОКИ С8600/8800/810/830/801/821/MC860/851/861(80000 стр. А4);Ремень переноса C8600-BELT-UNIT;43449705;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;10630;9740;RUB
4129;C8600-FUSER-OKI;Узел закрепления для принтера ОКИ С8600/8800/810/830/801/821/MC860/851/861(100000 стр. А4);Термоузел C8600-FUSER;43529405;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;5;10630;9740;RUB
43161;CABINET-B721-31-7131;Тумбочка Caster Stand/Cabinet-B721/31/7131;null;45478702;3303;Аксессуары и опции для принтеров OKI;0;0;11830;10180;RUB
51121;CAB-MC7X0-MB7X0;Тумба Cabinet-MC7x0/MB7x0;null;45681801;3303;Аксессуары и опции для принтеров OKI;0;0;14610;12570;RUB
48600;CAB-MC853-MC873;Тумба для MC853/MC873;null;45893702;3303;Аксессуары и опции для принтеров OKI;0;0;20880;17970;RUB
44467;DEV-BES9460-70;Девелопер черный ES9460/70dn MFP, Ресурс 77000 страниц;null;44957904;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;5020;4600;RUB
44470;DEV-CES9460-70;Девелопер синий ES9460/70dn MFP , Ресурс 77000 страниц;null;44957903;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;27570;25260;RUB
44469;DEV-MES9460-70;Девелопер пурпурный ES9460/70dn MFP , Ресурс 77000 страниц;null;44957902;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;27570;25260;RUB
44468;DEV-YES9460-70;Девелопер желтый ES9460/70dn MFP , Ресурс 77000 страниц;null;44957901;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;27570;25260;RUB
33363;DUPLEX-C831/841                    ;Дуплекс (устройство двухсторонней печати) для C831/841;null;44717603;3303;Аксессуары и опции для принтеров OKI;0;1;30260;26050;RUB
7935;EP CART-B44/4600-OKI;Картридж-фотобарабан для OKI  B4400/4600( 20000 стр);Фотобарабан EP CART-B44/4600;43501902;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;17510;16040;RUB
33352;EP-C301/321/331/511/531/MC352/362/562   ;Печатный картридж  для OKI C301/321/331/511/531/MC352/362/562(30000 ч/б стр. и 20000 цвет.стр.А4);Печатный картридж EP-C301/321/331/511/531/MC352/362/562;44968301;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;4;10160;9300;RUB
7998;EP-C93/95-Magenta;Картридж-фотобарабан малиновый для OKI С9300, 9500, Xante CL30(30000 стр.);Фотобарабан EP-CART-M-C93/95;41963406;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;0;0;RUB
8002;EP-C93/95-Yellow;Картридж-фотобарабан желтый для OKI С9300, 9500, Xante CL30(30000 стр.);Фотобарабан EP-CART-Y-C93/95;41963405;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;0;0;RUB
8006;EP-C96/98-Black;Картридж-фотобарабан черный для OKI C9600/9800/9650/9850/9655(30000 стр.);Фотобарабан EP-CART-K-C96/800;42918108;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;4;11;15760;14440;RUB
